epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,347.84,0.91187,1.15208,1.07306,0.54308,0.52212,0.55741,0.3805,0.99699,1.10267,1.06967,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,351.927,0.92082,1.16135,1.08537,0.53058,0.50868,0.55698,0.3796,0.99188,1.10751,1.06474,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,356.027,0.9289,1.19048,1.08957,0.54638,0.53065,0.55898,0.38133,0.99174,1.10073,1.06558,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,360.134,0.89546,1.13726,1.07024,0.53101,0.50372,0.5512,0.37453,0.99804,1.09954,1.06901,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,364.409,0.91556,1.1595,1.08009,0.53419,0.51661,0.54653,0.37059,0.99798,1.09896,1.07083,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,368.722,0.91077,1.13571,1.07249,0.52903,0.52076,0.55439,0.37262,1.00096,1.10196,1.07617,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,372.979,0.92339,1.1797,1.09472,0.53404,0.51894,0.55411,0.3731,1.00521,1.09789,1.076,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
89,377.254,0.93169,1.16562,1.08149,0.54886,0.51302,0.55038,0.37362,1.00427,1.09386,1.07581,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,381.594,0.90815,1.14817,1.08231,0.54605,0.5185,0.54942,0.36921,1.0069,1.09401,1.07352,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,387.324,0.89197,1.21717,1.06096,0.55506,0.49348,0.53683,0.36498,1.01962,1.12763,1.08575,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,391.452,0.88167,1.18296,1.05347,0.57699,0.4721,0.52623,0.35482,1.0182,1.15309,1.09089,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,395.639,0.88423,1.19379,1.05629,0.56,0.4732,0.52561,0.35177,1.0176,1.15993,1.08814,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,399.776,0.88752,1.16933,1.05474,0.54733,0.48271,0.53734,0.35371,1.01421,1.14484,1.08092,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,403.88,0.87978,1.17726,1.05386,0.5707,0.46408,0.53769,0.35568,1.01022,1.12872,1.07622,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
96,407.986,0.87692,1.17268,1.05283,0.55328,0.47105,0.5417,0.35632,1.00337,1.11931,1.06827,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
97,411.935,0.87941,1.18041,1.06241,0.48235,0.51551,0.53918,0.35807,1.0015,1.1167,1.06523,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
98,415.872,0.86812,1.15403,1.05251,0.57695,0.45232,0.54504,0.36059,1.00161,1.11881,1.06745,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05
99,419.813,0.8941,1.17562,1.06068,0.57828,0.45273,0.54448,0.35968,0.99808,1.11547,1.06694,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
100,423.685,0.87861,1.17792,1.06367,0.48017,0.53283,0.54696,0.36579,0.99776,1.11514,1.06703,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05
